antecedent,consequent,support,confidence,lift
"tropical fruit,yogurt",other vegetables,0.012302999491611592,0.4201388888888889,2.171343127809891
"other vegetables,tropical fruit",yogurt,0.012302999491611592,0.34277620396600567,2.4571457478175405
"whipped/sour cream,whole milk",other vegetables,0.014641586171835282,0.45425867507886436,2.3476794899635474
"other vegetables,whipped/sour cream",whole milk,0.014641586171835282,0.5070422535211268,1.9843854211620697
"whipped/sour cream,yogurt",other vegetables,0.010167768174885612,0.49019607843137253,2.5334095803323957
"other vegetables,whipped/sour cream",yogurt,0.010167768174885612,0.352112676056338,2.524073009485484
"whole milk,yogurt",other vegetables,0.02226741230299949,0.397459165154265,2.054130787857171
"other vegetables,yogurt",whole milk,0.02226741230299949,0.5128805620608899,2.00723451168677
"rolls/buns,root vegetables",whole milk,0.012709710218607015,0.5230125523012552,2.0468875654129906
"rolls/buns,tropical fruit",whole milk,0.010981189628876462,0.4462809917355372,1.7465871682128962
"rolls/buns,yogurt",whole milk,0.015556685307574987,0.4526627218934911,1.7715630202238304
"root vegetables,tropical fruit",whole milk,0.011997966446365024,0.5700483091787439,2.230969009459987
"root vegetables,yogurt",whole milk,0.014539908490086425,0.562992125984252,2.2033535849801504
"soda,yogurt",whole milk,0.01047280122013218,0.3828996282527881,1.498534756811051
"tropical fruit,yogurt",whole milk,0.015149974580579562,0.5173611111111112,2.0247698081089447
"tropical fruit,whole milk",yogurt,0.015149974580579562,0.3581730769230769,2.5675161891679745
"whipped/sour cream,yogurt",whole milk,0.010879511947127605,0.5245098039215687,2.052747282757114
"whipped/sour cream,whole milk",yogurt,0.010879511947127605,0.33753943217665616,2.4196066439193973
